,ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,TADA_BF,krishnan_post,D,D_ens,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000339292,ENSP00000339292,23562,CLDN14,1.444e-05,FALSE,NA,0.000330686692861074,0.466189928211855,0.476,0.01835765293023,-0.14598135877067,0.922211980206958,0.918481805785135,0.932991897,0.92121634611123,0,1,5.976585857
ENSP00000340864,ENSP00000340864,114897,C1QTNF1,1.665e-05,FALSE,NA,7.24017785005128e-05,0.456114862168926,0.412,0.033556912500885,0.0558318441086677,0.923478217393385,0.921916434022622,0.934684202,0.935941999904994,0,1,0
ENSP00000343635,ENSP00000343635,57707,TLDC1,NA,FALSE,NA,2.2902052991234e-12,NA,0.441,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000346600,ENSP00000346600,79081,C11orf48,9.83e-06,FALSE,NA,1.53758667829402e-05,0.571584222442325,0.366,NA,NA,0.920127842933788,0.918886934927559,0.910723192,0.931211838386915,0,1,0
ENSP00000351310,ENSP00000351310,131873,COL6A6,8.94e-05,FALSE,NA,3.59168701863295e-45,0.0417201124129442,0.491,NA,NA,0.936827659494591,0.933694155191823,0.950710315,0.127597886975227,0,1,0
ENSP00000354335,ENSP00000354335,219972,MPEG1,2.883e-05,FALSE,NA,3.45678304248647e-12,0.522984717108332,0.447,0.0255714620830062,0.125783981850747,0.93423198417514,0.932771763208142,0.918447491,0.945105560539538,0,1,0
ENSP00000354414,ENSP00000354414,199692,ZNF627,1.745e-05,FALSE,NA,0.00564414625423386,1.75058758703581,0.413,0.00619211727724569,-0.523143914155913,0.771601877098488,0.766020941286362,0.769502005,0.93637345594173,0,0.065926493,144.1676973
ENSP00000355157,ENSP00000355157,79368,FCRL2,1.83e-05,FALSE,NA,0.000160040383245631,0.781909802465525,0.447,NA,NA,0.881329733991913,0.877479180324312,0.88201906,0.711587188559978,0,1,0
ENSP00000356189,ENSP00000356189,26034,IPCEF1,1.62e-05,FALSE,NA,0.399940590099527,0.45741726467827,0.494,0.299693262215051,0.653774270967833,0.929249181453541,0.921152222368681,0.934495364,0.923798965029457,0,1,14.0463283
ENSP00000359827,ENSP00000359827,374986,FAM73A,2.211e-05,FALSE,NA,0.000750458579415592,0.423432652579857,0.443,0.0321921977364392,0.175041872210796,0.94020183908919,0.936969960875175,0.93874902,0.871711567656488,0,1,0
