ensembl_string,entrez,symbol,mutation_rate,SFARI_listed,SFARI_score,pLI,forecASD,STRING_score,BrainSpan_score,STRING+BrainSpan_RF,krishnan_post,D_ens,D,TADA_BF,tadaFdrAscSscExomeSscAgpSmallDel,tadaFdrAscSscExome,tadaFdrAscExome,tadaFdrSscExome,rASD,min_lFDR,Netscore
ENSP00000334042,255061,TAC4,0.00000437,FALSE,NA,0.041958906,0.006,0.142,0.211,0.018,0.447,0.02494926,-0.015764078,0.403959085,0.936444023,0.934659195,0.940406187,0.894497366,0,1,0
ENSP00000406909,162466,PHOSPHO1,0.00001569,FALSE,NA,0.631109188,0.006,0.142,0.089,0.001,0.447,NA,NA,0.460727523,0.921537014,0.920263766,0.933900146,1,0,1,0
ENSP00000307519,28983,TMPRSS11E,0.00001502,FALSE,NA,3.75424E-05,0.006,0.140,0.015,0.000,0.458,0.018931704,-0.031922897,1.505197285,0.803360875,0.793396593,0.795922731,0.856894289,0,1,0
ENSP00000311746,5655,KLK10,0.00001681,FALSE,NA,4.40787E-05,0.006,0.140,0.020,0.000,0.404,0.017049651,-0.119623136,0.167737635,0.9482039,0.946165671,0.949160835,0.877542288,0,1,0.909635967
ENSP00000340568,341947,COX8C,0.00000464,FALSE,NA,0.144098451,0.006,0.140,0.140,0.017,0.488,0.016926963,-0.260252502,1.06772147,0.836968646,0.835167183,0.854201625,0.895584432,0,1,3.019380124
ENSP00000382508,29965,CDIP1,NA,FALSE,NA,0.734505012,0.006,0.140,0.079,0.006,0.48,NA,NA,NA,NA,NA,NA,NA,0,1,0
ENSP00000330587,4496,MT1H,0.000002712,FALSE,NA,0.054841215,0.006,0.138,0.056,0.072,0.447,0.006762628,-0.384762711,0.807280265,0.864667805,0.863216449,0.879942396,0.931214995,0,1,0
ENSP00000358170,63877,FAM204A,0.00000766,FALSE,NA,0.050712422,0.006,0.138,0.228,0.032,0.413,0.018536552,-0.144408077,1.429623491,0.796137646,0.792005899,0.809196009,0.904703189,0,1,0
ENSP00000371327,3822,KLRC2,0.00000807,FALSE,NA,0.004278232,0.006,0.138,0.106,0.000,0.461,0.039154068,0.04993078,0.502242663,0.903239082,0.901829928,0.924542181,0.90600252,0,1,0
ENSP00000381480,653423,SPAG11A,0.0000057,FALSE,NA,0.039012166,0.006,0.138,0.049,0.009,0.492,NA,NA,0.510527735,0.896647637,0.893249745,0.922256708,1,0,1,0
